model,family,radical_field,target_radical,n_trials,target_logprob,distractor_logprob,delta,top1_rate,mrr
bert-base-multilingual-cased,mlm,water,85,5,-6.986400339603424,-8.870541000366211,1.884140660762787,0.8,0.9
bert-base-multilingual-cased,mlm,fire,86,4,-10.98532235622406,-7.646899139881134,-3.3384232163429264,0.0,0.2583333333333333
bert-base-multilingual-cased,mlm,metal,167,4,-8.494978141784667,-8.9857497215271,0.49077157974243235,0.75,0.8
bert-base-multilingual-cased,mlm,tree,75,4,-7.807444930076599,-10.145579600334168,2.3381346702575687,1.0,1.0
bert-base-multilingual-cased,mlm,bird,196,3,-8.288967927296957,-6.348147710164388,-1.9408202171325692,0.3333333333333333,0.5
bert-base-multilingual-cased,mlm,fish,195,3,-10.461921342213948,-7.206344827016195,-3.2555765151977534,0.0,0.18888888888888888
bert-base-multilingual-cased,mlm,insect,142,3,-11.998442268371582,-7.419528007507324,-4.5789142608642575,0.0,0.20555555555555557
bert-base-multilingual-cased,mlm,speech,149,3,-6.9276522676150005,-7.451871045430502,0.5242187778155012,1.0,1.0
hfl/chinese-bert-wwm-ext,mlm,water,85,5,-5.712340798377991,-10.129020500183106,4.416679701805116,1.0,1.0
hfl/chinese-bert-wwm-ext,mlm,fire,86,4,-10.56252481341362,-9.802368569374085,-0.7601562440395355,0.5,0.75
hfl/chinese-bert-wwm-ext,mlm,metal,167,4,-8.043302118778229,-8.87717661857605,0.8338744997978207,1.0,1.0
hfl/chinese-bert-wwm-ext,mlm,tree,75,4,-8.327246014401316,-10.866845607757568,2.539599593356252,1.0,1.0
hfl/chinese-bert-wwm-ext,mlm,bird,196,3,-5.4856235901514685,-4.508279832204183,-0.9773437579472857,0.3333333333333333,0.48333333333333334
hfl/chinese-bert-wwm-ext,mlm,fish,195,3,-9.587258275349935,-7.557928880055745,-2.02932939529419,0.3333333333333333,0.5555555555555556
hfl/chinese-bert-wwm-ext,mlm,insect,142,3,-10.129440307617188,-5.497889041900635,-4.631551265716553,0.0,0.16666666666666666
hfl/chinese-bert-wwm-ext,mlm,speech,149,3,-7.918534161026279,-9.76732972462972,1.8487955636034412,1.0,1.0
hfl/chinese-macbert-base,mlm,water,85,5,-6.409681940078736,-9.381888942718506,2.9722070026397702,1.0,1.0
hfl/chinese-macbert-base,mlm,fire,86,4,-10.417777740955353,-9.374421381950379,-1.0433563590049744,0.5,0.75
hfl/chinese-macbert-base,mlm,metal,167,4,-7.549446713924408,-7.781893014907837,0.23244630098342878,1.0,1.0
hfl/chinese-macbert-base,mlm,tree,75,4,-7.7681257740594445,-10.330161905288696,2.5620361312292514,0.75,0.875
hfl/chinese-macbert-base,mlm,bird,196,3,-6.399341233571371,-5.040487051010132,-1.358854182561239,0.0,0.3
hfl/chinese-macbert-base,mlm,fish,195,3,-8.684827677408855,-6.297138373057048,-2.387689304351807,0.0,0.3888888888888889
hfl/chinese-macbert-base,mlm,insect,142,3,-9.17804578145345,-5.419014835357666,-3.759030946095784,0.0,0.20555555555555557
hfl/chinese-macbert-base,mlm,speech,149,3,-7.7919711850583555,-8.892199023564656,1.1002278385063002,0.6666666666666666,0.7777777777777777
xlm-roberta-base,mlm,water,85,5,-9.070841369628907,-10.682716369628906,1.6118749999999995,0.8,0.9
xlm-roberta-base,mlm,fire,86,4,-13.27962965965271,-11.626504707336426,-1.6531249523162828,0.5,0.6125
xlm-roberta-base,mlm,metal,167,4,-9.502201080322266,-8.099857330322266,-1.40234375,0.25,0.4583333333333333
xlm-roberta-base,mlm,tree,75,4,-8.25777876228094,-10.753872513771057,2.4960937514901165,0.75,0.875
xlm-roberta-base,mlm,bird,196,3,-7.992320251464844,-6.336070251464844,-1.65625,0.3333333333333333,0.47222222222222227
xlm-roberta-base,mlm,fish,195,3,-12.155719820658366,-8.117178026835123,-4.038541793823242,0.0,0.2333333333333333
xlm-roberta-base,mlm,insect,142,3,-11.063183657328288,-7.267350403467814,-3.795833253860474,0.0,0.16666666666666666
xlm-roberta-base,mlm,speech,149,3,-8.001725514729818,-8.546517149607341,0.544791634877523,1.0,1.0
xlm-roberta-large,mlm,water,85,5,-8.134098796844482,-10.747223796844482,2.613125,1.0,1.0
xlm-roberta-large,mlm,fire,86,4,-12.22362198829651,-10.682215714454651,-1.541406273841858,0.5,0.6666666666666667
xlm-roberta-large,mlm,metal,167,4,-8.17678198814392,-7.796313238143921,-0.38046874999999947,0.75,0.8333333333333334
xlm-roberta-large,mlm,tree,75,4,-8.928774896636606,-10.21627492904663,1.2875000324100245,0.75,0.8125
xlm-roberta-large,mlm,bird,196,3,-9.090812794367473,-7.123104397455851,-1.9677083969116218,0.0,0.31666666666666665
xlm-roberta-large,mlm,fish,195,3,-11.772884051005045,-7.499967463811239,-4.272916587193806,0.0,0.27777777777777773
xlm-roberta-large,mlm,insect,142,3,-13.456854565938313,-9.09956299463908,-4.357291571299234,0.0,0.2222222222222222
xlm-roberta-large,mlm,speech,149,3,-9.746149031321208,-8.958648935953777,-0.7875000953674309,0.3333333333333333,0.611111111111111
Qwen/Qwen2.5-1.5B,causal,water,85,5,-7.83096474647522,-9.671120986938476,1.8401562404632559,0.4,0.6333333333333333
Qwen/Qwen2.5-1.5B,causal,fire,86,4,-12.880216932296753,-11.297013807296754,-1.583203124999999,0.0,0.425
Qwen/Qwen2.5-1.5B,causal,metal,167,4,-7.234645712375641,-8.05798556804657,0.8233398556709295,1.0,1.0
Qwen/Qwen2.5-1.5B,causal,tree,75,4,-7.616032600402832,-9.433806037902832,1.8177734374999996,1.0,1.0
Qwen/Qwen2.5-1.5B,causal,bird,196,3,-7.47642609278361,-8.081894858678181,0.605468765894571,0.6666666666666666,0.8333333333333334
Qwen/Qwen2.5-1.5B,causal,fish,195,3,-7.186856238047282,-7.572272904713949,0.38541666666666696,0.6666666666666666,0.7777777777777778
Qwen/Qwen2.5-1.5B,causal,insect,142,3,-9.369341500600179,-6.5242894172668455,-2.845052083333333,0.3333333333333333,0.47222222222222227
Qwen/Qwen2.5-1.5B,causal,speech,149,3,-10.658957370122273,-11.183794657389322,0.524837287267049,1.0,1.0
Qwen/Qwen2.5-3B,causal,water,85,5,-7.826709747314453,-10.480616035461425,2.653906288146972,0.4,0.64
Qwen/Qwen2.5-3B,causal,fire,86,4,-13.230368995666504,-11.443332958221436,-1.787036037445068,0.0,0.4583333333333333
Qwen/Qwen2.5-3B,causal,metal,167,4,-7.5596143245697025,-8.491352605819703,0.9317382812500004,0.5,0.75
Qwen/Qwen2.5-3B,causal,tree,75,4,-7.675291609764099,-9.452830839157105,1.777539229393006,0.75,0.8125
Qwen/Qwen2.5-3B,causal,bird,196,3,-6.901051139831543,-7.965634489059449,1.064583349227906,0.6666666666666666,0.7777777777777777
Qwen/Qwen2.5-3B,causal,fish,195,3,-7.796806049346924,-8.20149351755778,0.40468746821085677,0.6666666666666666,0.7333333333333334
Qwen/Qwen2.5-3B,causal,insect,142,3,-9.048938131332397,-6.007531976699829,-3.0414061546325684,0.3333333333333333,0.45555555555555555
Qwen/Qwen2.5-3B,causal,speech,149,3,-10.460162766774495,-11.353782463073731,0.8936196962992362,1.0,1.0
